eam_A,Team_B,Score_A,Score_B,Notes
Smash Cartel,Topspin Tooling,3,2,
Net Breakers,Table Trolls,3,0,
Precision Paddlers,Table Trolls,3,0,
Kungfu Pandas,TT8045,3,0,
Precision Paddlers,Tariff,3,0,
Tie-Bar Titans,Voltage and Velocity,3,1,
Eminem,MatPing,3,1,
AS Smashers,CEO & CFO,4,0,No show
Precision Paddlers,Hot Shots,3,0,
Precision Paddlers,The Engine,3,0,
Spin Masters,Tie-Bar Titans,3,0,
King Pong,Voltage and Velocity,3,0,
Eminem,Hot Shots,3,0,
The Engine,Phoenix Buns,3,1,
Kungfu Pandas,Smash Cartel,3,0,
Topspin Tooling,Tie-Bar Titans,3,1,
The Engine,Table Trolls,3,0,
The Engine,Net Breakers,0,3,
Tariff,Topspin Tooling,3,0,
Net Breakers,Eminem,3,0,
Table Trolls,Eminem,0,3,
Precision Paddlers,TT8045,3,0,
Kungfu Pandas,Tariff,3,0,
Phoenix Buns,Smash Cartel,0,3,
Net Breakers,Smash Cartel,3,0,
Net Breakers,Phoenix Buns,3,0,
The Engine,Tariff,0,3,
Paddle Pals,AS Smashers,0,3,
Paddle Pals,CEO & CFO,3,2,
Eminem,Voltage and Velocity,3,0,
Eminem,AS Smashers,1,3,
Tariff,Phoenix Buns,3,0,
Topspin Tooling,King Pong,0,3,
Eminem,Spin Masters,3,0,
Kungfu Pandas,Tie-Bar Titans,3,0,
AS Smashers,Hot Shots,3,0,
AS Smashers,Net Breakers,0,3,
AS Smashers,Kungfu Pandas,1,3,
AS Smashers,Tie-Bar Titans,3,0,
Net Breakers,Paddle Pals,3,0,
Net Breakers,Tie-Bar Titans,3,0,
Net Breakers,Spin Masters,3,0,
Paddle Pals,Kungfu Pandas,0,3,
Table Trolls,Smash Cartel,1,3,
Paddle Pals,MatPing,3,0,No show
AS Smashers,Voltage and Velocity,3,0,
The Engine,TT8045,0,3,
AS Smashers,Phoenix Buns,3,0,
Net Breakers,CEO & CFO,3,0,
Net Breakers,TT8045,3,0,
